keyword,search_volume,competing_products,value_score
10 inch portable fan,-0.13293012887291517,-0.6152663147542782,0.9986941863811143
12 inch clip on fan,-0.13037246862010124,-0.6293417212497068,1.0152165795190706
12 inch desk fan,-0.11701579841096192,-0.6186431499448855,1.0176718989872562
12 inch fans electric 3 speed,-0.11928927419124095,-0.6168442751237209,1.0136406575079906
12 portable fan,-0.10934281765252017,-0.3193356270689998,0.7919758946397947
6 in fan,-0.1401768329225546,-0.003743553180465759,0.6198461380382687
amazon mini fan,-0.11047955554265969,-0.3193356270689998,0.791111844215122
arctic wind fan,-0.13221966769157797,-0.6294048396644845,1.013443253144344
b001r1rxug,-0.13818754161481042,-0.634896141750145,1.013040514980899
baby safe fan,-0.12255739562539207,-0.6218306298911597,1.0154038157895593
best fans for cooling bedroom,0.09555418704512783,-0.4455724566244134,1.0483110242605775
black amazon,-0.1420240319940313,-0.3193356270689998,0.7671344449304526
brushless fan,-0.0972649775697878,-0.41401324923556,0.8632832941694447
cheap fan,-0.04682223369484672,2.5209930379278065,0.265750446904045
child safe fan,-0.12241530338912462,-0.5718092861798271,0.9677611728486681
climate keeper fan,-0.14159775528522897,-0.6134989991405024,0.988480419896255
corded fan,-0.12468877916940366,-0.003743553180465759,0.6293411136817346
desk fan,12.026612989713234,0.6274405945966023,5.824813335194351
duracraft fan,-0.11090583225146201,-0.6306356487526498,1.0359080237824205
easy home fan,-0.1262517937683455,2.5209930379278065,0.24663806121047124
fam for dorm,-0.1283831773123571,-0.6306987671674275,1.018569387538528
fan 660,-0.11005327883385738,-0.6318980170482039,1.0380617495380913
fan bathroom,-0.11062164777892713,0.3118485207080683,0.5345444268279327
fan bedside,-0.12355204127926414,-0.5402500787909736,0.9388225037779938
fan deals,-0.13349849781798492,-0.6147298082286676,0.9976118719585674
fan for white noise,-0.12028391984511304,-0.3193356270689998,0.7836594093023193
fan noise,0.06344134164868646,1.2586247423736705,0.41979587126531415
fan office,-0.1255413325870083,2.5209930379278065,0.2468090127819701
fans',-0.1119004779053341,2.5209930379278065,0.2500912829547484
fan same day delivery,-0.10877444870745041,-0.6033684935686804,1.0105920931894627
fans for bathroom,-0.12895154625742686,0.3118485207080683,0.5251289129776467
fans for office,-0.1172999828834968,2.5209930379278065,0.24879205101135698
fan small,0.034454525450128774,2.5209930379278065,0.28530730668351584
fans that blow cold air portable,-0.0951335940257762,-0.5402500787909736,0.9647830666670413
fan under 20,-0.13648243477960115,-0.5402500787909736,0.9270104476634772
fan white noise,-0.1001068222951366,0.9430326684851363,0.40774606837091426
fan with long cord,-0.12539924035074085,-0.3193356270689998,0.7797711823912918
fan xing,-0.11829462853736887,-0.626943221488154,1.0247830396732067
grow room fan,-0.1151685993394852,-0.6157081436577221,1.016553715626117
high performance fan,-0.11005327883385738,-0.6263435965477657,1.0323449913251217
honeywell 11 fan,-0.13832963385107788,-0.6349277009575338,1.012930393500337
household fan,-0.13179339098277565,-0.003743553180465759,0.6249856202673008
intertek fan,-0.10280657478421795,-0.623061438979325,1.0361581287604744
kid safe fan,-0.13818754161481042,-0.6033684935686804,0.9820788554647837
little fan,0.1570801253489292,2.5209930379278065,0.314813547924221
night stand fan,-0.028492335216347,-0.6033684935686804,1.0884180802157613
on fan electric,-0.11431604592188056,1.8898088901507386,0.2941904890270087
outlet fan plug in,-0.1226994878616595,-0.6203157879364947,1.0137477456056905
polar wind fan,-0.12653597824088036,-0.6292786028349291,1.0189678000244218
portable fan electric,-0.12227321115285719,-0.3193356270689998,0.7821473210591421
portable fan plug in,-0.1323617599278454,-0.6033684935686804,0.9877264049658072
room circulation fan,-0.11701579841096192,-0.41401324923556,0.8471062222924449
rv fan,0.1623375380908245,-0.3193356270689998,0.9984839461365866
small fan desk,-0.11119001672399689,0.6274405945966023,0.4597262137518892
